Name,Category,Price,Description,OriginalPrice,OfferDescription,IsCashOffer,ImageUrl,IsFeatured
ALFAJOR  TRIPLE   LAS COLONIAS N,Varios,8884,varios,8884,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
RONDO QUESO BARRA,Varios,7700,varios,7700,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ARGENTINO JABON VERDE X 200  G,Varios,17000,varios,17000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CARBON,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
VIGENTE PURE TOMATES 520G,Varios,7650,varios,7650,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
HARINA MULTIPLE X 25 4/0,Varios,18500,varios,18500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PAN RALLADO OFERTA X 5 KG,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
FULBITO TURRON 25 G,Varios,6995,varios,6995,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PICADILLO LA NEGRA,Varios,16580,varios,16580,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ACEITE ALSAMAR X 5L,Varios,60452,varios,60452,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ZORRO JABON POLVO  400 G,Varios,44974,varios,44974,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CHULETA D VACA,Varios,10500,varios,10500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
HARINA VENADO TUERTO X 1 KG 3/0,Varios,7950,varios,7950,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BRAHMA LATA PAGO CONTADO,Varios,35000,varios,35000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LECHE PURISIMA X 800 GR.,Varios,99800,varios,99800,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ALDENTE FIDEOS SPAG. X 500 G.,Varios,13450,varios,13450,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CUADRIL D VACA,Varios,10500,varios,10500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
JUGO ARCOR  SOBRE  18 G,Varios,4998,varios,4998,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ZORRO JABON POLVO  X 3 KG,Varios,46522,varios,46522,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
TREMBLAY QUESO CREMOSO X HORMA,Varios,8900,varios,8900,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
JUGO TUTTI  X 200ML,Varios,6150,varios,6150,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
QUESO CREMOSO DE-VA-KA HORMA,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
KNORR CALDO X 2 UN,Varios,10500,varios,10500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
HARINA MULTIPLE X 25 3/0,Varios,15700,varios,15700,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
KLICK ARROZ 1/2 KG,Varios,665,varios,665,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CHORIZO GRANALIER X BOLSA,Varios,5800,varios,5800,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LECHE TREGAR ENTERA X 1L,Varios,16500,varios,16500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
HARINA ESTRE. X 4/0 X 1 KG,Varios,11300,varios,11300,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MENUDOS DE POLLO X 20 KG,Varios,17500,varios,17500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
DULCE DE LECHE YATASTO X 400G,Varios,1890,varios,1890,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
